iter	Logloss
0	0.6856316099
1	0.6786207194
2	0.6727063882
3	0.6667396847
4	0.6615104401
5	0.6568422527
6	0.6523564428
7	0.6483809296
8	0.6446301483
9	0.6413704905
10	0.6383373137
11	0.6353752169
12	0.6329829289
13	0.6305405127
14	0.6281427461
15	0.6262072439
16	0.6242054272
17	0.6223836582
18	0.6208137612
19	0.6192902747
20	0.6179590418
21	0.6165900003
22	0.6151592118
23	0.6138591712
24	0.612894356
25	0.6117819608
26	0.6107324954
27	0.6098039333
28	0.608993717
29	0.6080310822
30	0.6072972079
31	0.606443626
32	0.6057579693
33	0.6050109224
34	0.6043366227
35	0.6035890713
36	0.6029790043
37	0.60226904
38	0.6017342871
39	0.6011489577
40	0.600640358
41	0.600135497
42	0.5996779859
43	0.5992862612
44	0.5989034398
45	0.5984780483
46	0.598103918
47	0.5977230866
48	0.5973552084
49	0.5968510427
50	0.5964819661
51	0.5960867525
52	0.5956754764
53	0.5952989455
54	0.5949688931
55	0.5946976653
56	0.5944267335
57	0.5940395711
58	0.5937843546
59	0.5935039364
60	0.5932586083
61	0.5929907089
62	0.5926962262
63	0.592383242
64	0.5920959972
65	0.5917789228
66	0.5915889786
67	0.5912978795
68	0.5910638013
69	0.5908755224
70	0.5906632551
71	0.5904218212
72	0.5901728865
73	0.5899513938
74	0.5898121544
75	0.5895610833
76	0.5893141508
77	0.5891289506
78	0.5889626605
79	0.5887555971
80	0.5885678694
81	0.588397554
82	0.5882394407
83	0.5880522405
84	0.5878928245
85	0.5877358042
86	0.5875508501
87	0.5874145483
88	0.5872494116
89	0.5870782398
90	0.5868875377
91	0.5867424921
92	0.5866156118
93	0.5863853479
94	0.5862567379
95	0.5861017156
96	0.5859436034
97	0.5858111234
98	0.5856761488
99	0.5855304603
100	0.585425988
101	0.5853279727
102	0.5851872053
103	0.5849968238
104	0.5848849824
105	0.5847465329
106	0.5846250247
107	0.5844567345
108	0.5843624295
109	0.5842020976
110	0.5840697855
111	0.5838909395
112	0.5837692884
113	0.5836536596
114	0.5835597862
115	0.5834612953
116	0.5832666725
117	0.583121694
118	0.5830294319
119	0.5828758567
120	0.5827817211
121	0.5826238528
122	0.5824724885
123	0.5823652184
124	0.582255802
125	0.5821575954
126	0.5820242654
127	0.5819351615
128	0.5818550096
129	0.5817566539
130	0.5816651626
131	0.5815731015
132	0.5814629646
133	0.5813405805
134	0.5812192792
135	0.581146282
136	0.5810768077
137	0.5809817931
138	0.5808867673
139	0.5808200701
140	0.5807269322
141	0.5806580978
142	0.5805799547
143	0.580490222
144	0.5804063814
145	0.5803161519
146	0.5802149315
147	0.5801410129
148	0.5800371013
149	0.5799555389
150	0.57980847
151	0.5796979778
152	0.5796161246
153	0.579563101
154	0.5794422418
155	0.579347684
156	0.5792834347
157	0.5791971466
158	0.5791259795
159	0.5790135234
160	0.5789473643
161	0.5788488286
162	0.5787472221
163	0.5786763034
164	0.578585968
165	0.5784935298
166	0.5784034154
167	0.5782886791
168	0.5782032612
169	0.5781403576
170	0.5780614623
171	0.5779934919
172	0.5778998119
173	0.5778110508
174	0.5777660372
175	0.5777061695
176	0.5776282957
177	0.5775750518
178	0.577498551
179	0.5774444986
180	0.5773849711
181	0.5773457328
182	0.5772752131
183	0.5772240281
184	0.5771386746
185	0.5770413433
186	0.5769873284
187	0.576930153
188	0.5768719261
189	0.5767958333
190	0.5767476205
191	0.5766825973
192	0.5765860813
193	0.5765325595
194	0.5764393719
195	0.5763699099
196	0.576305787
197	0.5762692822
198	0.5761863791
199	0.5761286889
200	0.5760719022
201	0.5759907478
202	0.5758335168
203	0.5757949028
204	0.5757516661
205	0.5757068273
206	0.575612895
207	0.5755122236
208	0.5754428599
209	0.5753850349
210	0.5753491889
211	0.5752768956
212	0.5752407105
213	0.575190229
214	0.5751089089
215	0.575060664
216	0.5749957487
