iter	Passed	Remaining
0	113	79363
1	209	73234
2	304	70851
3	396	69004
4	486	67571
5	584	67579
6	678	67179
7	771	66711
8	877	67400
9	965	66586
10	1059	66338
11	1149	65876
12	1232	65131
13	1330	65178
14	1419	64841
15	1514	64765
16	1617	64966
17	1698	64347
18	1789	64145
19	1895	64444
20	1984	64149
21	2074	63927
22	2168	63840
23	2260	63680
24	2358	63688
25	2457	63706
26	2545	63447
27	2640	63368
28	2727	63102
29	2809	62743
30	2907	62741
31	2998	62591
32	3085	62360
33	3177	62247
34	3256	61865
35	3352	61833
36	3448	61790
37	3544	61748
38	3636	61638
39	3727	61511
40	3807	61203
41	3895	61030
42	3999	61114
43	4094	61051
44	4222	61461
45	4302	61169
46	4383	60896
47	4473	60763
48	4554	60513
49	4644	60372
50	4735	60263
51	4832	60217
52	4916	60018
53	5006	59892
54	5094	59742
55	5183	59608
56	5261	59352
57	5351	59239
58	5436	59065
59	5533	59023
60	5624	58919
61	5707	58736
62	5798	58627
63	5887	58503
64	5992	58546
65	6086	58471
66	6179	58379
67	6265	58229
68	6351	58082
69	6425	57832
70	6516	57734
71	6607	57630
72	6694	57497
73	6785	57399
74	6868	57236
75	6961	57158
76	7045	57007
77	7139	56936
78	7215	56720
79	7307	56634
80	7404	56587
81	7497	56503
82	7577	56330
83	7674	56281
84	7760	56147
85	7847	56029
86	7933	55896
87	8032	55863
88	8125	55782
89	8206	55619
90	8296	55523
91	8383	55404
92	8466	55260
93	8548	55111
94	8627	54945
95	8723	54887
96	8807	54748
97	8891	54620
98	8970	54455
99	9051	54307
100	9136	54184
101	9222	54066
102	9302	53916
103	9385	53785
104	9464	53634
105	9560	53575
106	9648	53470
107	9740	53390
108	9820	53246
109	9906	53136
110	9987	52995
111	10083	52938
112	10170	52833
113	10246	52669
114	10332	52562
115	10414	52431
116	10504	52342
117	10606	52312
118	10679	52140
119	10765	52035
120	10859	51962
121	10935	51807
122	11012	51661
123	11101	51566
124	11181	51436
125	11263	51309
126	11345	51187
127	11428	51072
128	11505	50929
129	11589	50813
130	11668	50682
131	11754	50579
132	11839	50473
133	11924	50367
134	12027	50338
135	12122	50274
136	12197	50125
137	12277	50000
138	12364	49903
139	12446	49787
140	12531	49679
141	12603	49527
142	12690	49428
143	12769	49305
144	12846	49171
145	12937	49090
146	13029	49015
147	13109	48896
148	13190	48777
149	13269	48653
150	13363	48585
151	13447	48482
152	13538	48403
153	13611	48259
154	13706	48194
155	13791	48094
156	13873	47981
157	13966	47911
158	14050	47806
159	14185	47876
160	14267	47763
161	14363	47702
162	14451	47609
163	14537	47513
164	14627	47429
165	14713	47331
166	14803	47245
167	14888	47147
168	14970	47035
169	15050	46923
170	15137	46830
171	15221	46725
172	15302	46615
173	15388	46519
174	15458	46376
175	15537	46259
176	15625	46170
177	15697	46032
178	15772	45909
179	15853	45798
180	15942	45712
181	16012	45573
182	16100	45486
183	16171	45350
184	16254	45249
185	16343	45164
186	16416	45035
187	16498	44932
188	16570	44801
189	16662	44724
190	16739	44608
191	16814	44488
192	16909	44419
193	16995	44328
194	17095	44272
195	17172	44158
196	17244	44030
197	17318	43908
198	17398	43803
199	17476	43691
200	17562	43599
201	17649	43511
202	17745	43446
203	17821	43331
204	17891	43202
205	17974	43104
206	18061	43015
207	18147	42924
208	18228	42823
209	18312	42728
210	18386	42611
211	18465	42504
212	18538	42386
213	18613	42272
214	18688	42158
215	18779	42080
216	18870	42002
217	18954	41907
218	19035	41809
219	19109	41692
220	19195	41604
221	19268	41488
222	19351	41393
223	19430	41288
224	19526	41223
225	19600	41108
226	19682	41013
227	19770	40927
228	19859	40846
229	19941	40750
230	20028	40663
231	20110	40567
232	20201	40490
233	20281	40390
234	20356	40279
235	20442	40191
236	20523	40095
237	20602	39993
238	20686	39900
239	20760	39791
240	20842	39696
241	20939	39629
242	21016	39525
243	21090	39414
244	21193	39358
245	21300	39310
246	21392	39233
247	21488	39164
248	21614	39149
249	21798	39237
250	21979	39317
251	22116	39318
252	22217	39254
253	22335	39219
254	22424	39132
255	22529	39074
256	22621	38992
257	22706	38899
258	22794	38812
259	22909	38769
260	23010	38703
261	23106	38628
262	23190	38533
263	23276	38441
264	23365	38354
265	23470	38294
266	23573	38229
267	23667	38151
268	23761	38071
269	23850	37984
270	23960	37929
271	24107	37933
272	24232	37902
273	24332	37830
274	24429	37754
275	24517	37664
276	24607	37578
277	24706	37504
278	24809	37436
279	24918	37377
280	25021	37309
281	25113	37225
282	25232	37180
283	25330	37103
284	25425	37022
285	25515	36934
286	25615	36861
287	25712	36783
288	25792	36680
289	25895	36610
290	25993	36534
291	26082	36444
292	26180	36367
293	26273	36282
294	26370	36203
295	26469	36127
296	26568	36051
297	26655	35958
298	26740	35862
299	26843	35791
300	26926	35693
301	27021	35611
302	27108	35518
303	27209	35444
304	27316	35377
305	27411	35294
306	27515	35223
307	27613	35143
308	27716	35072
309	27818	34998
310	27912	34912
311	28015	34839
312	28100	34744
313	28189	34653
314	28296	34585
315	28384	34493
316	28470	34397
317	28568	34318
318	28653	34222
319	28756	34148
320	28855	34069
321	28944	33978
322	29039	33894
323	29134	33810
324	29221	33717
325	29315	33631
326	29393	33528
327	29478	33432
328	29569	33343
329	29654	33248
330	29746	33162
331	29845	33081
332	29962	33021
333	30063	32943
334	30152	32852
335	30255	32776
336	30351	32693
337	30447	32609
338	30537	32519
339	30626	32428
340	30710	32331
341	30810	32252
342	30917	32179
343	31002	32084
344	31106	32007
345	31199	31921
346	31290	31831
347	31387	31748
348	31490	31670
349	31582	31582
350	31678	31497
351	31769	31408
352	31869	31327
353	31971	31249
354	32062	31159
355	32146	31063
356	32238	30973
357	32334	30889
358	32437	30810
359	32536	30728
360	32640	30651
361	32742	30571
362	32841	30489
363	32932	30399
364	33020	30306
365	33122	30226
366	33232	30153
367	33324	30064
368	33415	29974
369	33501	29879
370	33597	29793
371	33686	29702
372	33802	29634
373	33912	29559
374	34003	29470
375	34119	29401
376	34232	29329
377	34328	29242
378	34425	29156
379	34542	29088
380	34635	28999
381	34741	28921
382	34838	28834
383	34927	28742
384	35022	28655
385	35121	28570
386	35217	28483
387	35313	28396
388	35404	28305
389	35500	28218
390	35595	28130
391	35698	28048
392	35798	27964
393	35884	27869
394	35997	27795
395	36093	27707
396	36187	27619
397	36295	27540
398	36396	27457
399	36484	27363
400	36571	27269
401	36677	27188
402	36782	27107
403	36894	27031
404	36993	26945
405	37085	26855
406	37172	26760
407	37267	26671
408	37360	26581
409	37446	26486
410	37535	26393
411	37622	26299
412	37712	26206
413	37815	26123
414	37917	26039
415	38001	25943
416	38092	25851
417	38179	25757
418	38267	25664
419	38350	25566
420	38434	25470
421	38527	25380
422	38620	25290
423	38708	25197
424	38797	25104
425	38903	25022
426	39011	24941
427	39120	24861
428	39226	24779
429	39331	24696
430	39424	24606
431	39554	24538
432	39701	24481
433	39851	24424
434	39966	24347
435	40065	24259
436	40190	24187
437	40318	24117
438	40439	24042
439	40564	23970
440	40695	23900
441	40897	23872
442	41067	23824
443	41193	23750
444	41310	23672
445	41435	23597
446	41580	23534
447	41724	23469
448	41838	23388
449	41966	23314
450	42097	23242
451	42238	23174
452	42345	23089
453	42469	23012
454	42607	22942
455	42762	22881
456	42871	22795
457	42991	22715
458	43107	22633
459	43233	22556
460	43349	22474
461	43470	22394
462	43603	22319
463	43730	22242
464	43865	22168
465	43996	22092
466	44228	22067
467	44404	22012
468	44548	21941
469	44704	21876
470	44895	21828
471	45006	21740
472	45125	21656
473	45282	21590
474	45459	21533
475	45647	21481
476	45785	21404
477	45919	21326
478	46061	21251
479	46183	21167
480	46300	21080
481	46421	20995
482	46555	20916
483	46686	20835
484	46805	20748
485	46883	20644
486	46954	20536
487	47032	20432
488	47125	20334
489	47205	20231
490	47285	20127
491	47362	20023
492	47434	19916
493	47523	19817
494	47598	19712
495	47676	19609
496	47769	19511
497	47846	19407
498	47929	19306
499	48016	19206
500	48090	19101
501	48169	18999
502	48261	18901
503	48346	18801
504	48415	18694
505	48497	18594
506	48581	18493
507	48668	18394
508	48760	18297
509	48849	18198
510	48953	18105
511	49047	18009
512	49132	17909
513	49209	17807
514	49297	17708
515	49376	17607
516	49468	17510
517	49551	17410
518	49627	17307
519	49701	17204
520	49776	17101
521	49856	17001
522	49935	16899
523	50004	16795
524	50077	16692
525	50167	16595
526	50248	16495
527	50328	16394
528	50425	16299
529	50503	16199
530	50592	16101
531	50670	16001
532	50747	15900
533	50816	15796
534	50902	15699
535	50978	15597
536	51054	15497
537	51138	15398
538	51215	15298
539	51290	15197
540	51364	15096
541	51453	14999
542	51541	14902
543	51634	14806
544	51717	14708
545	51795	14608
546	51868	14508
547	51942	14407
548	52030	14310
549	52104	14210
550	52194	14114
551	52273	14015
552	52345	13914
553	52428	13816
554	52510	13718
555	52593	13621
556	52674	13523
557	52759	13426
558	52835	13327
559	52907	13226
560	52983	13127
561	53057	13028
562	53140	12931
563	53216	12832
564	53307	12737
565	53383	12638
566	53473	12543
567	53554	12445
568	53629	12347
569	53706	12248
570	53790	12152
571	53875	12056
572	53971	11962
573	54091	11873
574	54191	11780
575	54269	11682
576	54367	11589
577	54441	11491
